Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,1/20/2008,,Osasuna,Ath Bilbao,2,0,H,0,0,D,20,5,7,1,27,21,5,5,3,1,0,1
SP1,1/20/2008,,Valladolid,Espanol,2,1,H,2,0,H,8,15,5,6,20,23,5,8,1,3,0,0
SP1,1/20/2008,,Zaragoza,Murcia,3,1,H,1,0,H,13,11,7,3,24,18,5,9,2,0,0,0
SP1,1/19/2008,,Getafe,Sevilla,3,2,H,1,1,D,19,19,8,7,19,20,6,7,3,3,0,0
SP1,1/19/2008,,Villarreal,Valencia,3,0,H,1,0,H,12,5,7,2,14,21,4,5,1,2,0,0
SP1,1/13/2008,,Almeria,Espanol,1,0,H,0,0,D,17,8,4,2,24,18,10,6,3,4,0,0
SP1,1/13/2008,,Ath Madrid,Valencia,1,0,H,1,0,H,16,12,7,8,19,15,4,5,4,2,0,0
SP1,1/13/2008,,Betis,Getafe,3,2,H,2,0,H,8,23,3,10,33,17,3,8,2,3,0,0
SP1,1/13/2008,,Levante,Real Madrid,0,2,A,0,0,D,15,15,1,7,17,15,8,1,1,0,0,0
SP1,1/13/2008,,Osasuna,Santander,0,2,A,0,0,D,19,10,5,4,9,23,9,3,0,4,0,0
SP1,1/13/2008,,Valladolid,Recreativo,3,1,H,2,1,H,12,7,4,4,18,14,6,2,0,1,0,0
SP1,1/13/2008,,Villarreal,La Coruna,4,3,H,1,1,D,13,12,7,4,23,28,1,4,2,1,0,1
SP1,1/13/2008,,Zaragoza,Mallorca,2,2,D,2,1,H,13,12,7,5,20,13,9,5,2,4,0,0
SP1,1/12/2008,,Ath Bilbao,Sevilla,2,0,H,1,0,H,13,9,6,1,18,13,4,4,1,1,0,1
SP1,1/12/2008,,Barcelona,Murcia,4,0,H,1,0,H,18,9,10,3,13,9,4,5,3,1,0,0
SP1,1/6/2008,,Getafe,Valladolid,0,3,A,0,0,D,11,13,5,4,11,18,8,7,2,1,0,0
SP1,1/6/2008,,La Coruna,Ath Madrid,0,3,A,0,1,A,10,9,4,4,17,27,3,3,2,1,0,0
SP1,1/6/2008,,Murcia,Osasuna,2,0,H,0,0,D,12,12,6,2,22,14,7,4,2,1,0,0
SP1,1/6/2008,,Real Madrid,Zaragoza,2,0,H,0,0,D,14,24,3,11,18,18,5,4,2,2,0,0
SP1,1/6/2008,,Recreativo,Almeria,1,1,D,1,1,D,18,11,9,4,11,24,10,4,2,4,0,0
SP1,1/6/2008,,Santander,Ath Bilbao,1,0,H,1,0,H,12,10,2,3,13,20,3,5,1,2,0,0
SP1,1/6/2008,,Sevilla,Betis,3,0,H,2,0,H,20,4,10,1,18,20,6,6,2,4,0,0
SP1,1/6/2008,,Valencia,Levante,0,0,D,0,0,D,15,8,7,2,17,29,13,5,1,3,1,0
SP1,1/5/2008,,Espanol,Villarreal,3,0,H,3,0,H,13,10,7,2,18,18,5,3,1,2,0,0
SP1,1/5/2008,,Mallorca,Barcelona,0,2,A,0,0,D,10,15,2,4,16,12,2,5,1,3,0,0
SP1,12/23/2007,,Ath Bilbao,Murcia,1,1,D,1,0,H,14,19,4,4,20,21,4,3,4,3,1,0
SP1,12/23/2007,,Ath Madrid,Espanol,1,2,A,1,0,H,8,18,4,5,16,17,2,6,1,2,2,0
SP1,12/23/2007,,Barcelona,Real Madrid,0,1,A,0,1,A,16,11,6,5,19,23,7,0,2,1,0,0
SP1,12/23/2007,,Levante,La Coruna,0,1,A,0,0,D,10,13,4,3,19,10,7,9,0,2,0,0
SP1,12/23/2007,,Osasuna,Mallorca,3,1,H,1,0,H,11,11,5,2,25,18,3,3,4,5,0,0
SP1,12/23/2007,,Valladolid,Betis,0,0,D,0,0,D,8,6,2,3,16,27,9,4,3,5,0,0
SP1,12/23/2007,,Villarreal,Recreativo,1,1,D,1,1,D,16,8,7,4,18,19,7,6,3,3,0,0
SP1,12/22/2007,,Almeria,Getafe,0,2,A,0,1,A,6,7,2,3,29,15,2,2,4,3,1,0
SP1,12/22/2007,,Sevilla,Santander,4,1,H,1,0,H,17,8,7,6,17,19,5,4,4,3,0,1
SP1,12/22/2007,,Zaragoza,Valencia,2,2,D,2,0,H,10,14,4,6,21,27,1,6,4,5,0,0
SP1,12/16/2007,,Betis,Almeria,3,1,H,1,1,D,14,5,4,4,17,10,3,1,3,0,0,2
SP1,12/16/2007,,Getafe,Villarreal,1,3,A,0,1,A,8,13,4,7,11,8,4,3,1,3,0,1
SP1,12/16/2007,,La Coruna,Zaragoza,1,1,D,0,1,A,13,8,1,1,10,16,5,4,0,3,1,0
SP1,12/16/2007,,Mallorca,Ath Bilbao,0,0,D,0,0,D,18,12,5,4,13,16,8,5,1,5,1,0
SP1,12/16/2007,,Murcia,Santander,2,1,H,0,0,D,12,9,4,3,16,16,9,6,3,3,0,0
SP1,12/16/2007,,Real Madrid,Osasuna,2,0,H,1,0,H,16,11,5,4,24,13,3,6,2,0,0,0
SP1,12/16/2007,,Recreativo,Ath Madrid,0,0,D,0,0,D,11,15,3,6,18,20,9,5,3,4,0,0
SP1,12/16/2007,,Valladolid,Sevilla,0,0,D,0,0,D,13,8,4,2,17,16,8,3,3,2,0,2
SP1,12/15/2007,,Espanol,Levante,1,0,H,1,0,H,15,7,8,1,19,22,6,0,1,4,0,0
SP1,12/15/2007,,Valencia,Barcelona,0,3,A,0,2,A,11,16,2,11,18,15,3,6,3,1,0,0
SP1,12/9/2007,,Almeria,Valladolid,1,0,H,0,0,D,13,15,3,4,23,19,3,7,3,2,0,1
SP1,12/9/2007,,Ath Madrid,Getafe,1,0,H,1,0,H,7,13,3,4,21,22,3,12,3,5,2,2
SP1,12/9/2007,,Barcelona,La Coruna,2,1,H,1,1,D,20,9,12,5,18,20,10,0,1,3,0,0
SP1,12/9/2007,,Levante,Recreativo,0,2,A,0,1,A,13,10,4,5,14,25,3,6,0,1,0,0
SP1,12/9/2007,,Santander,Mallorca,3,1,H,2,1,H,11,9,5,3,19,15,7,3,4,2,1,1
SP1,12/9/2007,,Sevilla,Murcia,3,1,H,1,0,H,17,12,7,1,26,25,9,7,2,3,0,0
SP1,12/9/2007,,Villarreal,Betis,0,1,A,0,1,A,19,2,8,1,11,26,6,1,2,2,0,0
SP1,12/9/2007,,Zaragoza,Espanol,3,3,D,1,3,A,23,9,6,4,20,26,10,1,4,3,1,0
SP1,12/8/2007,,Ath Bilbao,Real Madrid,0,1,A,0,0,D,18,15,4,5,14,21,5,0,2,2,0,0
SP1,12/8/2007,,Osasuna,Valencia,0,0,D,0,0,D,17,7,5,3,21,17,1,4,3,2,0,0
SP1,12/5/2007,,Osasuna,Sevilla,1,1,D,1,0,H,10,14,3,5,21,14,7,6,3,2,0,0
SP1,12/2/2007,,Betis,Ath Madrid,0,2,A,0,1,A,6,17,2,4,24,23,5,0,5,4,0,0
SP1,12/2/2007,,Getafe,Levante,2,1,H,0,1,A,23,8,4,4,16,18,12,2,4,5,0,0
SP1,12/2/2007,,La Coruna,Osasuna,1,2,A,0,0,D,16,11,6,5,22,16,4,5,0,2,0,0
SP1,12/2/2007,,Mallorca,Murcia,1,1,D,0,1,A,11,7,3,3,13,20,6,7,1,6,0,0
SP1,12/2/2007,,Recreativo,Zaragoza,2,1,H,2,1,H,11,13,5,4,23,17,3,9,2,3,0,0
SP1,12/2/2007,,Valencia,Ath Bilbao,0,3,A,0,1,A,14,12,1,4,19,18,7,3,3,4,0,0
SP1,12/2/2007,,Valladolid,Villarreal,2,0,H,1,0,H,8,6,4,2,16,10,4,5,1,2,0,0
SP1,12/1/2007,,Almeria,Sevilla,1,0,H,0,0,D,10,16,3,4,26,18,10,12,6,2,0,1
SP1,12/1/2007,,Espanol,Barcelona,1,1,D,0,1,A,12,16,2,7,17,16,4,7,2,1,0,0
SP1,12/1/2007,,Real Madrid,Santander,3,1,H,2,0,H,13,11,5,4,18,18,6,11,2,3,0,0
SP1,11/25/2007,,Ath Bilbao,La Coruna,2,2,D,1,0,H,11,7,3,2,24,23,4,2,3,5,0,0
SP1,11/25/2007,,Ath Madrid,Valladolid,4,3,H,1,1,D,16,11,10,5,14,21,6,7,3,4,1,0
SP1,11/25/2007,,Levante,Betis,4,3,H,2,2,D,17,7,8,6,13,20,3,5,1,2,0,1
SP1,11/25/2007,,Osasuna,Espanol,1,2,A,0,2,A,12,13,4,6,16,15,6,1,1,3,0,0
SP1,11/25/2007,,Santander,Valencia,1,0,H,0,0,D,11,5,6,3,15,20,2,8,3,2,0,0
SP1,11/25/2007,,Villarreal,Almeria,1,1,D,1,0,H,9,7,3,2,25,25,7,3,5,4,0,0
SP1,11/25/2007,,Zaragoza,Getafe,1,1,D,0,0,D,15,19,2,9,19,19,8,7,3,1,0,0
SP1,11/24/2007,,Barcelona,Recreativo,3,0,H,0,0,D,19,4,7,0,13,13,13,2,2,4,0,0
SP1,11/24/2007,,Murcia,Real Madrid,1,1,D,0,1,A,15,7,3,2,26,16,4,1,6,2,0,1
SP1,11/24/2007,,Sevilla,Mallorca,1,2,A,0,2,A,12,6,5,3,30,22,8,1,3,4,0,1
SP1,11/11/2007,,Almeria,Ath Madrid,0,0,D,0,0,D,12,13,7,1,25,13,8,6,4,3,0,0
SP1,11/11/2007,,Betis,Zaragoza,2,1,H,0,1,A,15,8,5,3,21,18,5,3,2,2,0,0
SP1,11/11/2007,,Espanol,Ath Bilbao,2,1,H,1,1,D,14,6,5,1,19,27,9,3,4,2,1,0
SP1,11/11/2007,,La Coruna,Santander,0,1,A,0,0,D,21,6,5,3,9,15,10,3,0,3,1,0
SP1,11/11/2007,,Real Madrid,Mallorca,4,3,H,2,2,D,15,9,5,4,19,12,2,5,2,1,0,0
SP1,11/11/2007,,Recreativo,Osasuna,1,0,H,0,0,D,9,10,4,3,25,18,4,6,5,4,1,0
SP1,11/11/2007,,Valladolid,Levante,1,0,H,0,0,D,13,8,6,1,11,15,8,8,2,1,0,0
SP1,11/11/2007,,Villarreal,Sevilla,3,2,H,1,1,D,13,7,7,3,19,28,5,3,3,5,0,1
SP1,11/10/2007,,Getafe,Barcelona,2,0,H,1,0,H,13,10,5,2,19,13,3,4,2,4,0,1
SP1,11/10/2007,,Valencia,Murcia,3,0,H,2,0,H,13,13,5,2,26,21,5,5,4,4,0,0
SP1,11/4/2007,,Ath Bilbao,Recreativo,2,0,H,0,0,D,14,12,5,2,15,27,2,8,3,4,0,0
SP1,11/4/2007,,Ath Madrid,Villarreal,3,4,A,2,2,D,13,9,6,4,18,21,7,4,5,1,0,0
SP1,11/4/2007,,Barcelona,Betis,3,0,H,1,0,H,19,6,7,2,6,23,6,4,0,3,0,0
SP1,11/4/2007,,Levante,Almeria,3,0,H,3,0,H,11,21,5,6,14,17,6,11,2,1,0,0
SP1,11/4/2007,,Murcia,La Coruna,0,2,A,0,0,D,12,12,5,3,12,16,5,7,0,2,0,0
SP1,11/4/2007,,Osasuna,Getafe,0,2,A,0,0,D,11,14,4,4,19,13,5,5,5,1,1,0
SP1,11/4/2007,,Santander,Espanol,1,1,D,0,0,D,18,9,6,4,25,18,5,1,3,1,0,1
SP1,11/4/2007,,Zaragoza,Valladolid,2,3,A,1,3,A,15,13,7,6,16,21,1,9,4,5,0,0
SP1,11/3/2007,,Mallorca,Valencia,0,2,A,0,1,A,17,8,7,4,10,14,9,2,4,3,0,0
SP1,11/3/2007,,Sevilla,Real Madrid,2,0,H,2,0,H,16,5,5,1,26,16,3,6,4,5,0,1
SP1,11/1/2007,,Espanol,Murcia,0,0,D,0,0,D,9,4,3,4,22,20,0,0,3,4,0,0
SP1,11/1/2007,,Valladolid,Barcelona,1,1,D,1,1,D,13,12,8,2,22,12,4,11,1,0,0,0
SP1,10/31/2007,,Almeria,Zaragoza,0,1,A,0,0,D,19,14,6,4,10,12,10,5,1,4,0,0
SP1,10/31/2007,,Ath Madrid,Sevilla,4,3,H,2,2,D,9,11,8,3,22,21,0,8,3,3,0,0
SP1,10/31/2007,,Betis,Osasuna,0,3,A,0,1,A,13,13,2,4,20,9,5,3,3,1,1,0
SP1,10/31/2007,,Getafe,Ath Bilbao,2,0,H,2,0,H,17,8,6,4,19,16,8,6,2,2,0,1
SP1,10/31/2007,,La Coruna,Mallorca,1,1,D,1,1,D,15,8,7,2,14,20,7,1,2,6,0,1
SP1,10/31/2007,,Recreativo,Santander,0,0,D,0,0,D,13,10,6,2,23,12,5,9,5,4,0,0
SP1,10/31/2007,,Valencia,Real Madrid,1,5,A,0,4,A,9,14,7,7,20,11,9,3,1,1,1,0
SP1,10/31/2007,,Villarreal,Levante,3,0,H,3,0,H,20,14,8,4,14,19,10,4,0,3,0,0
SP1,10/28/2007,,Barcelona,Almeria,2,0,H,1,0,H,14,7,6,3,16,12,11,0,2,3,0,0
SP1,10/28/2007,,Levante,Ath Madrid,0,1,A,0,1,A,7,13,2,5,15,12,10,6,3,1,0,0
SP1,10/28/2007,,Murcia,Recreativo,1,0,H,0,0,D,9,8,1,2,16,20,3,6,3,3,0,0
SP1,10/28/2007,,Osasuna,Valladolid,2,2,D,0,1,A,12,13,3,4,22,18,5,5,4,3,1,0
SP1,10/28/2007,,Santander,Getafe,2,0,H,1,0,H,16,14,5,2,22,13,1,7,2,1,0,0
SP1,10/28/2007,,Sevilla,Valencia,3,0,H,1,0,H,18,2,5,0,18,23,6,2,3,6,0,0
SP1,10/28/2007,,Zaragoza,Villarreal,4,1,H,1,0,H,15,11,6,4,23,5,3,5,2,0,1,0
SP1,10/27/2007,,Ath Bilbao,Betis,0,0,D,0,0,D,17,6,4,4,17,19,11,2,5,4,0,0
SP1,10/27/2007,,Mallorca,Espanol,2,2,D,1,2,A,16,8,6,1,19,26,8,1,6,2,1,1
SP1,10/27/2007,,Real Madrid,La Coruna,3,1,H,1,1,D,20,11,10,2,17,14,4,5,4,3,0,1
SP1,10/21/2007,,Almeria,Osasuna,2,0,H,0,0,D,13,10,5,3,17,11,6,5,2,2,0,1
SP1,10/21/2007,,Ath Madrid,Zaragoza,4,0,H,2,0,H,17,10,8,3,14,15,3,6,3,5,0,0
SP1,10/21/2007,,Betis,Santander,1,1,D,0,0,D,12,25,1,5,12,11,6,5,3,3,1,0
SP1,10/21/2007,,Getafe,Murcia,2,0,H,0,0,D,6,7,2,2,18,21,5,6,2,3,1,0
SP1,10/21/2007,,Recreativo,Mallorca,0,2,A,0,1,A,18,11,4,4,19,21,7,2,2,0,0,0
SP1,10/21/2007,,Valladolid,Ath Bilbao,1,2,A,0,2,A,21,7,7,2,12,21,13,3,1,5,0,0
SP1,10/20/2007,,Espanol,Real Madrid,2,1,H,1,0,H,16,9,5,4,29,16,6,2,2,3,0,0
SP1,10/20/2007,,La Coruna,Valencia,2,4,A,1,3,A,18,6,3,6,14,22,6,2,2,0,0,1
SP1,10/20/2007,,Levante,Sevilla,0,2,A,0,2,A,5,15,1,7,18,14,5,3,3,2,0,0
SP1,10/20/2007,,Villarreal,Barcelona,3,1,H,3,1,H,8,13,4,6,13,21,0,9,1,3,0,0
SP1,10/7/2007,,Ath Bilbao,Almeria,1,1,D,1,0,H,5,16,1,6,20,25,5,5,4,3,1,0
SP1,10/7/2007,,Barcelona,Ath Madrid,3,0,H,2,0,H,17,8,10,3,11,16,5,5,1,4,0,0
SP1,10/7/2007,,Mallorca,Getafe,4,2,H,0,1,A,11,16,5,6,22,18,2,5,4,2,1,0
SP1,10/7/2007,,Murcia,Betis,0,0,D,0,0,D,14,10,5,2,15,23,9,3,0,4,0,0
SP1,10/7/2007,,Osasuna,Villarreal,3,2,H,2,2,D,10,7,3,3,21,14,6,7,1,4,2,0
SP1,10/7/2007,,Real Madrid,Recreativo,2,0,H,0,0,D,13,14,4,3,9,23,4,7,1,7,0,0
SP1,10/7/2007,,Santander,Valladolid,2,0,H,0,0,D,7,12,5,4,17,21,2,5,3,2,0,1
SP1,10/7/2007,,Sevilla,La Coruna,0,1,A,0,0,D,13,11,4,3,21,16,7,4,4,2,0,0
SP1,10/7/2007,,Zaragoza,Levante,3,0,H,0,0,D,18,6,6,3,16,10,8,2,1,2,0,0
SP1,10/6/2007,,Valencia,Espanol,1,2,A,1,1,D,9,14,3,6,14,20,3,8,1,4,0,0
SP1,9/30/2007,,Almeria,Santander,0,1,A,0,1,A,11,7,3,3,12,24,4,4,3,1,0,0
SP1,9/30/2007,,Ath Madrid,Osasuna,2,0,H,1,0,H,23,7,6,2,15,14,6,5,3,2,0,0
SP1,9/30/2007,,Betis,Mallorca,3,0,H,0,0,D,20,9,11,3,10,7,9,4,2,1,0,2
SP1,9/30/2007,,Espanol,La Coruna,1,0,H,1,0,H,7,15,2,5,33,21,3,3,1,1,0,0
SP1,9/30/2007,,Getafe,Real Madrid,0,1,A,0,0,D,26,14,6,5,18,22,10,2,2,3,0,0
SP1,9/30/2007,,Recreativo,Valencia,0,1,A,0,1,A,10,5,2,1,19,25,3,4,6,6,1,0
SP1,9/30/2007,,Valladolid,Murcia,1,4,A,0,1,A,7,19,2,8,20,17,2,8,1,2,2,0
SP1,9/30/2007,,Villarreal,Ath Bilbao,1,0,H,0,0,D,17,12,7,5,18,15,4,8,4,1,0,0
SP1,9/29/2007,,Levante,Barcelona,1,4,A,0,2,A,7,15,3,9,15,14,2,3,5,0,0,0
SP1,9/29/2007,,Zaragoza,Sevilla,2,0,H,0,0,D,9,13,2,4,14,16,6,4,1,1,0,0
SP1,9/27/2007,,Real Madrid,Betis,2,0,H,0,0,D,15,13,8,3,15,20,4,4,1,2,0,0
SP1,9/26/2007,,Ath Bilbao,Ath Madrid,0,2,A,0,1,A,14,9,4,4,17,22,10,5,3,5,0,0
SP1,9/26/2007,,Barcelona,Zaragoza,4,1,H,4,1,H,25,5,13,3,8,17,12,0,2,3,0,0
SP1,9/26/2007,,La Coruna,Recreativo,0,2,A,0,1,A,10,14,3,3,10,20,6,4,0,0,0,0
SP1,9/26/2007,,Mallorca,Valladolid,4,2,H,0,2,A,25,12,8,4,14,14,13,6,1,3,0,0
SP1,9/26/2007,,Murcia,Almeria,0,1,A,0,1,A,7,11,3,6,22,18,5,9,3,2,2,0
SP1,9/26/2007,,Osasuna,Levante,4,1,H,1,1,D,14,13,7,5,12,18,7,4,1,3,0,0
SP1,9/26/2007,,Santander,Villarreal,0,2,A,0,1,A,13,7,5,2,17,18,5,3,0,4,1,0
SP1,9/26/2007,,Valencia,Getafe,2,1,H,2,0,H,13,24,10,7,23,14,6,10,3,2,0,0
SP1,9/25/2007,,Sevilla,Espanol,2,3,A,0,1,A,22,8,7,5,14,18,5,1,2,3,0,0
SP1,9/23/2007,,Almeria,Mallorca,1,1,D,1,0,H,14,20,4,7,25,10,9,6,1,1,0,0
SP1,9/23/2007,,Ath Madrid,Santander,4,0,H,1,0,H,14,5,9,1,24,20,4,3,3,3,0,1
SP1,9/23/2007,,Betis,Valencia,1,2,A,0,0,D,15,17,1,4,21,13,10,5,2,0,0,0
SP1,9/23/2007,,Getafe,La Coruna,0,0,D,0,0,D,19,7,3,4,15,21,9,1,1,2,0,0
SP1,9/23/2007,,Levante,Ath Bilbao,1,2,A,0,1,A,15,15,3,6,16,25,9,3,5,2,0,1
SP1,9/23/2007,,Valladolid,Real Madrid,1,1,D,0,0,D,14,11,4,3,20,19,9,4,2,1,0,0
SP1,9/23/2007,,Villarreal,Murcia,2,0,H,0,0,D,7,9,4,2,14,23,6,4,1,4,0,0
SP1,9/23/2007,,Zaragoza,Osasuna,2,1,H,1,1,D,18,10,8,4,17,21,5,4,3,4,0,0
SP1,9/22/2007,,Barcelona,Sevilla,2,1,H,0,0,D,15,6,6,2,22,19,6,1,3,5,0,0
SP1,9/22/2007,,Recreativo,Espanol,2,1,H,0,1,A,10,7,4,4,18,18,6,2,2,5,0,0
SP1,9/16/2007,,Espanol,Getafe,1,0,H,0,0,D,20,14,7,3,20,10,4,6,7,1,0,1
SP1,9/16/2007,,La Coruna,Betis,1,0,H,1,0,H,22,12,4,4,14,24,5,6,1,3,0,0
SP1,9/16/2007,,Mallorca,Villarreal,0,1,A,0,0,D,10,13,1,5,15,9,6,4,2,2,0,0
SP1,9/16/2007,,Murcia,Ath Madrid,1,1,D,0,1,A,11,6,4,2,18,17,10,2,5,3,0,0
SP1,9/16/2007,,Osasuna,Barcelona,0,0,D,0,0,D,7,9,2,3,19,18,2,1,3,2,0,0
SP1,9/16/2007,,Santander,Levante,1,0,H,1,0,H,11,12,4,5,21,14,2,7,1,1,0,0
SP1,9/16/2007,,Sevilla,Recreativo,4,1,H,2,0,H,18,11,5,3,12,14,6,6,1,0,0,1
SP1,9/15/2007,,Ath Bilbao,Zaragoza,1,1,D,1,1,D,12,16,5,6,24,19,4,7,4,4,0,0
SP1,9/15/2007,,Real Madrid,Almeria,3,1,H,1,0,H,11,21,6,8,18,16,4,9,3,1,0,1
SP1,9/15/2007,,Valencia,Valladolid,2,1,H,1,1,D,12,10,5,2,11,24,2,7,1,2,0,0
SP1,9/2/2007,,Almeria,Valencia,1,2,A,0,0,D,11,4,4,3,23,22,5,2,3,2,0,0
SP1,9/2/2007,,Ath Madrid,Mallorca,1,1,D,0,1,A,22,7,5,2,16,19,7,1,4,3,0,0
SP1,9/2/2007,,Barcelona,Ath Bilbao,3,1,H,2,0,H,16,9,6,5,20,15,4,4,1,2,1,1
SP1,9/2/2007,,Betis,Espanol,2,2,D,0,2,A,15,12,8,5,16,22,3,5,0,1,0,0
SP1,9/2/2007,,Getafe,Recreativo,1,1,D,0,0,D,10,13,4,4,12,23,7,7,0,5,1,0
SP1,9/2/2007,,Valladolid,La Coruna,2,2,D,1,0,H,14,6,6,3,21,14,14,2,1,2,0,0
SP1,9/2/2007,,Villarreal,Real Madrid,0,5,A,0,1,A,17,12,6,6,15,16,7,3,2,0,0,0
SP1,9/1/2007,,Levante,Murcia,0,0,D,0,0,D,3,7,0,2,21,32,4,4,5,3,0,0
SP1,9/1/2007,,Zaragoza,Santander,1,1,D,0,0,D,14,12,4,2,9,12,8,4,2,3,0,0
SP1,8/26/2007,,Ath Bilbao,Osasuna,0,0,D,0,0,D,14,10,2,2,16,16,6,4,3,2,1,0
SP1,8/26/2007,,Espanol,Valladolid,0,1,A,0,0,D,7,17,3,5,17,21,8,4,3,2,0,0
SP1,8/26/2007,,La Coruna,Almeria,0,3,A,0,2,A,7,13,0,7,9,20,6,5,0,2,0,0
SP1,8/26/2007,,Mallorca,Levante,3,0,H,1,0,H,8,5,5,1,11,25,4,1,0,3,0,0
SP1,8/26/2007,,Murcia,Zaragoza,2,1,H,1,1,D,8,5,6,2,0,2,1,0,1,1,0,1
SP1,8/26/2007,,Recreativo,Betis,1,1,D,1,1,D,15,13,4,4,16,14,7,4,0,2,0,0
SP1,8/26/2007,,Santander,Barcelona,0,0,D,0,0,D,14,13,5,3,13,11,4,8,1,1,1,0
SP1,8/26/2007,,Valencia,Villarreal,0,3,A,0,1,A,4,7,1,6,16,13,5,0,1,1,2,0
SP1,8/25/2007,,Real Madrid,Ath Madrid,2,1,H,1,1,D,20,20,7,9,24,20,13,4,3,2,0,0
SP1,8/25/2007,,Sevilla,Getafe,4,1,H,0,1,A,29,7,10,3,12,17,8,4,1,2,0,2
SP1,6/17/2007,,Ath Bilbao,Levante,2,0,H,0,0,D,19,6,6,2,13,18,12,4,3,2,0,0
SP1,6/17/2007,,Celta,Getafe,2,1,H,1,1,D,10,15,3,3,22,26,2,8,2,1,0,0
SP1,6/17/2007,,Espanol,La Coruna,1,3,A,0,0,D,13,15,6,5,23,12,5,9,2,2,0,1
SP1,6/17/2007,,Gimnastic,Barcelona,1,5,A,0,3,A,10,23,2,12,23,8,2,6,1,0,0,0
SP1,6/17/2007,,Osasuna,Ath Madrid,1,2,A,0,1,A,19,7,9,5,10,15,14,1,1,2,0,0
SP1,6/17/2007,,Real Madrid,Mallorca,3,1,H,0,1,A,17,6,7,1,18,21,6,2,4,3,0,0
SP1,6/17/2007,,Recreativo,Zaragoza,1,1,D,1,0,H,11,10,5,3,6,16,6,4,0,4,0,1
SP1,6/17/2007,,Santander,Betis,0,2,A,0,0,D,9,17,1,3,16,16,0,5,1,3,0,0
SP1,6/17/2007,,Sevilla,Villarreal,0,1,A,0,0,D,12,13,3,5,12,19,3,3,3,3,0,0
SP1,6/17/2007,,Valencia,Sociedad,3,3,D,2,2,D,16,13,7,3,19,19,8,6,1,2,0,0
SP1,6/10/2007,,Getafe,Gimnastic,0,1,A,0,0,D,15,6,6,1,20,20,4,2,3,0,0,0
SP1,6/10/2007,,La Coruna,Recreativo,2,5,A,0,2,A,21,16,5,10,9,13,12,3,2,0,0,0
SP1,6/9/2007,,Ath Madrid,Celta,2,3,A,1,1,D,19,18,4,10,20,17,6,7,2,6,1,0
SP1,6/9/2007,,Barcelona,Espanol,2,2,D,1,1,D,25,8,6,5,20,21,11,1,2,4,0,0
SP1,6/9/2007,,Betis,Osasuna,0,5,A,0,1,A,16,9,4,5,23,10,10,2,2,3,0,0
SP1,6/9/2007,,Levante,Valencia,4,2,H,2,1,H,17,6,9,3,20,16,6,3,3,3,1,3
SP1,6/9/2007,,Mallorca,Sevilla,0,0,D,0,0,D,20,12,7,5,19,17,5,2,2,4,0,1
SP1,6/9/2007,,Sociedad,Santander,0,0,D,0,0,D,16,4,3,1,13,19,9,6,2,7,0,2
SP1,6/9/2007,,Villarreal,Ath Bilbao,3,1,H,2,1,H,7,13,2,3,12,9,2,7,2,1,0,0
SP1,6/9/2007,,Zaragoza,Real Madrid,2,2,D,1,0,H,9,19,5,7,19,19,0,8,3,3,0,0
SP1,5/27/2007,,Ath Bilbao,Mallorca,1,0,H,0,0,D,7,9,2,2,11,18,6,5,1,3,0,0
SP1,5/27/2007,,Celta,Betis,2,1,H,1,1,D,10,7,4,2,25,19,5,5,4,6,0,1
SP1,5/27/2007,,Gimnastic,Ath Madrid,0,2,A,0,1,A,16,9,5,3,20,20,13,4,3,3,1,0
SP1,5/27/2007,,Osasuna,Sociedad,2,0,H,2,0,H,14,18,2,0,17,16,11,9,1,2,0,0
SP1,5/27/2007,,Recreativo,Espanol,0,1,A,0,0,D,16,6,4,2,22,20,8,8,1,6,1,0
SP1,5/27/2007,,Santander,Levante,2,3,A,1,2,A,14,13,6,5,17,24,5,3,2,5,0,0
SP1,5/27/2007,,Sevilla,Zaragoza,3,1,H,1,0,H,23,8,11,3,15,18,12,4,3,3,0,1
SP1,5/26/2007,,Barcelona,Getafe,1,0,H,1,0,H,12,9,5,3,14,22,4,3,3,5,1,0
SP1,5/26/2007,,Real Madrid,La Coruna,3,1,H,1,0,H,11,19,4,8,20,19,4,5,1,4,0,0
SP1,5/26/2007,,Valencia,Villarreal,2,3,A,1,1,D,14,12,7,5,15,15,9,1,4,4,0,0
SP1,5/20/2007,,Ath Madrid,Barcelona,0,6,A,0,3,A,17,20,7,11,15,11,10,6,2,0,1,0
SP1,5/20/2007,,Espanol,Getafe,1,5,A,1,2,A,13,11,5,6,12,21,2,6,0,2,0,0
SP1,5/20/2007,,La Coruna,Sevilla,1,2,A,0,0,D,14,13,4,6,22,11,3,6,4,3,0,0
SP1,5/20/2007,,Levante,Osasuna,1,4,A,1,3,A,19,13,5,7,16,17,0,4,1,2,1,0
SP1,5/20/2007,,Recreativo,Real Madrid,2,3,A,0,1,A,7,12,4,4,16,15,1,5,1,2,0,0
SP1,5/20/2007,,Sociedad,Celta,3,1,H,0,1,A,9,19,3,7,21,20,1,14,2,2,0,0
SP1,5/20/2007,,Villarreal,Santander,2,1,H,1,0,H,9,16,4,3,17,19,3,2,1,4,0,0
